State,FIPS,Value (Percent),People (Unemployed),Rank within US (of 52 states)
"United States",00000,5.2,8759317,"N/A"
"Puerto Rico",72001,12.1,153090,"52"
"Nevada",32000,6.8,107736,"51"
"District of Columbia",11001,6.5,25748,"50"
"California",06000,6.4,1282259,"49"
"Louisiana",22000,6.3,135734,"48"
"New Jersey",34000,6.2,304881,"46"
"New York",36000,6.2,632127,"46"
"Mississippi",28000,6.0,79706,"44"
"New Mexico",35000,6.0,58121,"44"
"Alaska",02900,5.8,20644,"41"
"Illinois",17000,5.8,384790,"41"
"Michigan",26000,5.8,290715,"41"
"Rhode Island",44000,5.7,33634,"39"
"West Virginia",54000,5.7,45018,"39"
"Connecticut",09000,5.6,109838,"38"
"Oregon",41000,5.4,116411,"37"
"Arizona",04000,5.2,182184,"35"
"Pennsylvania",42000,5.2,349819,"35"
"Arkansas",05000,5.1,71269,"30"
"Delaware",10000,5.1,25640,"30"
"Georgia",13000,5.1,276950,"30"
"Massachusetts",25000,5.1,199882,"30"
"Texas",48000,5.1,765912,"30"
"Hawaii",15000,5.0,35378,"27"
"South Carolina",45000,5.0,124521,"27"
"Washington",53000,5.0,198360,"27"
"Maryland",24000,4.9,162773,"25"
"Oklahoma",40000,4.9,93199,"25"
"Alabama",01000,4.8,112849,"20"
"Florida",12000,4.8,516132,"20"
"Kentucky",21000,4.8,103267,"20"
"North Carolina",37000,4.8,253256,"20"
"Ohio",39000,4.8,290011,"20"
"Tennessee",47000,4.7,164163,"19"
"Colorado",08000,4.5,143373,"18"
"Indiana",18000,4.3,148579,"16"
"Virginia",51000,4.3,191415,"16"
"Missouri",29000,4.1,127719,"15"
"Kansas",20000,3.9,59154,"12"
"Maine",23000,3.9,28048,"12"
"Minnesota",27000,3.9,122323,"12"
"Montana",30000,3.8,21045,"11"
"Idaho",16000,3.7,34229,"8"
"Vermont",50000,3.7,12815,"8"
"Wyoming",56000,3.7,11118,"8"
"Iowa",19000,3.6,61411,"7"
"New Hampshire",33000,3.4,25914,"5"
"Utah",49000,3.4,59150,"5"
"Wisconsin",55000,3.3,102659,"4"
"Nebraska",31000,3.0,31428,"2"
"South Dakota",46000,3.0,14163,"2"
"North Dakota",38000,2.8,11847,"1"
