State,FIPS,Value (Dollars),Rank within US (of 52 states)
"United States",00000,"24,633","N/A"
"Puerto Rico",72001,"8,387","52"
"Mississippi",28000,"17,328","51"
"Arkansas",05000,"18,935","50"
"Louisiana",22000,"19,027","49"
"West Virginia",54000,"19,220","48"
"Alabama",01000,"19,991","47"
"New Mexico",35000,"20,018","46"
"Kentucky",21000,"20,089","45"
"Oklahoma",40000,"20,419","44"
"South Carolina",45000,"21,845","43"
"Tennessee",47000,"21,847","42"
"Indiana",18000,"22,411","41"
"Missouri",29000,"22,647","40"
"Georgia",13000,"22,700","39"
"Texas",48000,"22,715","38"
"Idaho",16000,"22,724","37"
"North Carolina",37000,"22,835","36"
"Ohio",39000,"23,115","35"
"Florida",12000,"23,262","34"
"Michigan",26000,"23,316","33"
"Nevada",32000,"23,435","32"
"Montana",30000,"23,517","31"
"South Dakota",46000,"23,651","30"
"Kansas",20000,"23,741","29"
"Arizona",04000,"24,090","28"
"Iowa",19000,"24,267","27"
"Nebraska",31000,"24,335","26"
"Utah",49000,"24,703","25"
"Wyoming",56000,"24,885","24"
"Pennsylvania",42000,"24,954","23"
"Maine",23000,"25,121","22"
"North Dakota",38000,"25,458","21"
"Wisconsin",55000,"25,727","20"
"Illinois",17000,"25,790","19"
"Oregon",41000,"26,072","18"
"New York",36000,"26,408","17"
"Vermont",50000,"26,733","16"
"Delaware",10000,"26,777","15"
"California",06000,"26,984","14"
"Hawaii",15000,"27,143","13"
"Rhode Island",44000,"27,241","12"
"Alaska",02900,"28,007","11"
"Minnesota",27000,"28,409","10"
"Virginia",51000,"28,607","9"
"Connecticut",09000,"30,021","8"
"Colorado",08000,"30,124","7"
"Washington",53000,"30,247","6"
"New Jersey",34000,"30,383","5"
"Maryland",24000,"30,931","4"
"New Hampshire",33000,"31,256","3"
"Massachusetts",25000,"31,718","2"
"District of Columbia",11001,"40,197","1"
